# Angular number densities per z bin ("number per bin")
# i.e., the number of galaxies per sq.deg. that have zmin<z<zmax.
# Both imaging and spectroscopic weights are included.
# The dz size is 0.01.
# 
# Columns are: redshift, dNdz (sample 1), dNdz (sample 2), dNdz (sample 3), dNdz (sample 4)
1.015000000000000124e+00 2.000000000000000042e-03 1.700000000000000122e-02 1.849999999999999978e-01 3.391999999999999904e+00
1.024999999999999911e+00 2.000000000000000042e-03 2.000000000000000042e-02 1.179999999999999938e-01 3.283999999999999808e+00
1.035000000000000142e+00 0.000000000000000000e+00 5.000000000000000104e-03 1.049999999999999961e-01 2.668000000000000149e+00
1.044999999999999929e+00 0.000000000000000000e+00 8.999999999999999320e-03 7.799999999999999989e-02 2.414000000000000146e+00
1.055000000000000160e+00 0.000000000000000000e+00 1.400000000000000029e-02 5.800000000000000294e-02 2.068000000000000060e+00
1.064999999999999947e+00 2.000000000000000042e-03 1.200000000000000025e-02 6.099999999999999867e-02 1.768000000000000016e+00
1.075000000000000178e+00 0.000000000000000000e+00 1.000000000000000021e-02 5.000000000000000278e-02 1.447000000000000064e+00
1.084999999999999964e+00 5.000000000000000104e-03 1.299999999999999940e-02 3.799999999999999906e-02 1.229000000000000092e+00
1.095000000000000195e+00 0.000000000000000000e+00 8.000000000000000167e-03 2.999999999999999889e-02 1.086000000000000076e+00
1.104999999999999982e+00 2.000000000000000042e-03 8.000000000000000167e-03 3.599999999999999728e-02 8.950000000000000178e-01
1.115000000000000213e+00 0.000000000000000000e+00 8.999999999999999320e-03 2.800000000000000058e-02 6.949999999999999512e-01
1.125000000000000000e+00 0.000000000000000000e+00 5.000000000000000104e-03 2.000000000000000042e-02 6.059999999999999831e-01
1.134999999999999787e+00 0.000000000000000000e+00 2.000000000000000042e-03 2.299999999999999961e-02 4.949999999999999956e-01
1.145000000000000018e+00 0.000000000000000000e+00 8.000000000000000167e-03 1.799999999999999864e-02 4.259999999999999898e-01
1.154999999999999805e+00 0.000000000000000000e+00 5.000000000000000104e-03 5.000000000000000104e-03 3.310000000000000164e-01
1.165000000000000036e+00 0.000000000000000000e+00 5.000000000000000104e-03 1.000000000000000021e-02 2.610000000000000098e-01
1.174999999999999822e+00 0.000000000000000000e+00 3.000000000000000062e-03 1.099999999999999936e-02 2.349999999999999867e-01
1.185000000000000053e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.400000000000000029e-02 2.119999999999999940e-01
1.194999999999999840e+00 0.000000000000000000e+00 5.000000000000000104e-03 1.899999999999999953e-02 1.650000000000000078e-01
1.205000000000000071e+00 2.000000000000000042e-03 2.000000000000000042e-03 2.000000000000000042e-03 1.529999999999999971e-01
1.214999999999999858e+00 0.000000000000000000e+00 5.000000000000000104e-03 1.099999999999999936e-02 9.800000000000000377e-02
1.225000000000000089e+00 0.000000000000000000e+00 3.000000000000000062e-03 3.000000000000000062e-03 8.999999999999999667e-02
1.234999999999999876e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000021e-03 7.499999999999999722e-02
1.245000000000000107e+00 0.000000000000000000e+00 3.000000000000000062e-03 8.999999999999999320e-03 6.500000000000000222e-02
1.254999999999999893e+00 0.000000000000000000e+00 3.000000000000000062e-03 3.000000000000000062e-03 5.600000000000000117e-02
1.265000000000000124e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.000000000000000146e-03 5.000000000000000278e-02
1.274999999999999911e+00 0.000000000000000000e+00 5.000000000000000104e-03 3.000000000000000062e-03 3.300000000000000155e-02
1.285000000000000142e+00 0.000000000000000000e+00 2.000000000000000042e-03 2.000000000000000042e-03 4.100000000000000172e-02
1.294999999999999929e+00 0.000000000000000000e+00 1.000000000000000021e-03 2.000000000000000042e-03 3.500000000000000333e-02
1.305000000000000160e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.000000000000000125e-03 1.200000000000000025e-02
1.314999999999999947e+00 0.000000000000000000e+00 3.000000000000000062e-03 6.000000000000000125e-03 1.700000000000000122e-02
1.325000000000000178e+00 3.000000000000000062e-03 2.000000000000000042e-03 3.000000000000000062e-03 1.700000000000000122e-02
1.334999999999999964e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000062e-03 6.000000000000000125e-03
1.345000000000000195e+00 0.000000000000000000e+00 1.000000000000000021e-03 2.000000000000000042e-03 8.000000000000000167e-03
1.354999999999999982e+00 0.000000000000000000e+00 2.000000000000000042e-03 3.000000000000000062e-03 6.000000000000000125e-03
1.365000000000000213e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03 1.400000000000000029e-02
1.375000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000062e-03
1.384999999999999787e+00 0.000000000000000000e+00 2.000000000000000042e-03 0.000000000000000000e+00 6.000000000000000125e-03
